Day,S,E,I,R,Total
0,929673.0,92.0,9.0,0.0,929774.0
1,929671.7733917026,78.95720209974041,22.273682325333006,0.9957238720978605,929773.9999999998
2,929669.6296218256,68.76728186847649,32.86712111042234,2.735975195100755,929773.9999999997
3,929666.7525762841,60.82161268599896,41.3543259067885,5.071485122843329,929773.9999999999
4,929663.2867465722,54.641562420299714,48.18672684965521,7.884964157609944,929773.9999999998
5,929659.3456417784,49.8507302213154,53.71935493098753,11.084273069117167,929774.0
6,929655.0184041252,46.15311286341952,58.23143058832581,14.597052422931533,929773.9999999999
7,929650.3750117666,43.31593388482758,61.94255526856282,18.36649908005513,929774.0
8,929645.4703705374,41.1561396557362,65.02544512449052,22.34804468234999,929773.9999999999
9,929640.347531672,39.52978005583483,67.61594459290322,26.506743679223913,929773.9999999999
10,929635.0402224186,38.32365678675835,69.82090166559556,30.815219129006405,929774.0
11,929629.5748360842,37.44875569697113,71.72436090497726,35.25204731377521,929773.9999999999
12,929623.971997148,36.83508146758666,73.39243409362913,39.800487290778605,929774.0000000001
13,929618.2477919876,36.42759583352287,74.87713030117281,44.44748187771677,929774.0000000001
14,929612.4147368623,36.18302290104809,76.21936832153243,49.18287191505652,929774.0
15,929606.482538962,36.067337377409785,77.45134515844593,53.99877850196446,929773.9999999999
16,929600.45869509,36.053788630383224,78.59839925087537,58.88911702853334,929773.9999999999
17,929594.3489623149,36.1213472656576,79.6804752859509,63.84921513342214,929774.0
18,929588.1577281965,36.25348312104446,80.71327650305086,68.87551217921435,929773.9999999998
19,929581.8883018522,36.43720450224143,81.7091706605828,73.96532298484637,929773.9999999999
20,929575.5431428971,36.66230243273776,82.67790268493631,79.11665198513312,929773.9999999998
21,929569.1240414156,36.92075651273662,83.62715493031105,84.32804714125851,929774.0
22,929562.6322595344,37.20626749379706,84.56298795194822,89.59848501969465,929773.9999999998
23,929556.068642713,37.51388979023162,85.49018704390573,94.92728045285664,929774.0
24,929549.4337072611,37.8397424391518,86.41253480354509,100.31401549615487,929773.9999999999
25,929542.7277091474,38.1807818076417,87.33302547140269,105.75848357343872,929773.9999999999
26,929535.950698096,38.53462284522426,88.25403349511186,111.26064556362324,929773.9999999999
27,929529.1025601162,38.89939850671463,89.1774461003988,116.82059527661555,929774.0
28,929522.1830509307,39.273649213515455,90.10476753718588,122.43853231834836,929773.9999999998
29,929515.19182226,39.65623588722908,91.03720109805515,128.11474075446205,929773.9999999998
30,929508.1284424698,40.04627158113202,91.97571359975434,133.8495723490783,929773.9999999997
31,929500.9924127691,40.44306779783773,92.92108601628371,139.64343341651602,929773.9999999997
32,929493.7831799767,40.846092128230026,93.87395343653867,145.49677445828354,929773.9999999998
33,929486.5001465317,41.254934982774316,94.83483644825725,151.41008203711093,929773.9999999999
34,929479.1426783311,41.66928349216779,95.80416576162403,157.38387241501226,929773.9999999999
35,929471.7101108964,42.08890092161571,96.78230163380839,163.4186865481229,929774.0
36,929464.2017541961,42.513610517650086,97.769549113855,169.51508617239975,929773.9999999999
37,929456.6168964287,42.943282783013444,98.76617005511696,175.67365073311404,929774.0
38,929448.9548069832,43.37782546583035,99.77239256829863,181.89497498257035,929774.0
39,929441.2147387409,43.8171757175556,100.78841842950817,188.17966711187495,929773.9999999999
40,929433.3959298779,44.26129389909538,101.8144289342355,194.52834728870255,929774.0
41,929425.4976052626,44.710158718105525,102.850589496173,200.9416465230916,929773.9999999999
42,929417.5189775366,45.16376341275798,103.89705325935273,207.4202057912444,929773.9999999999
43,929409.4592479549,45.62211272504209,104.95396396588369,213.96467535413814,929774.0
44,929401.3176069902,46.08522065008598,106.02145809203449,220.5757142676309,929774.0
45,929393.093234885,46.55310835697321,107.09966682270023,227.25398993528668,929774.0
46,929384.7853019598,47.02580291035388,108.18871727088126,234.00017785895145,929774.0
47,929376.3929689021,47.50333605426901,109.28873363857682,240.81496140506425,929774.0000000001
48,929367.9153869364,47.985743386046664,110.39983800999221,247.6990316676767,929774.0000000001
49,929359.3516979804,48.47306356808033,111.5221511093166,254.65308734220702,929774.0
50,929350.7010347282,48.96533780187002,112.65579281029608,261.6778346596085,929773.9999999999
51,929341.962520698,49.46260935285497,113.80088260111117,268.77398734806906,929774.0
52,929333.1352702546,49.96492325876783,114.95753987102262,275.9422666156996,929774.0
53,929324.2183885976,50.4723260155756,116.12588422534006,283.1834011614793,929774.0
54,929315.2109717376,50.9848655419232,117.30603552509847,290.4981271953837,929774.0
55,929306.1121064704,51.50259072132775,118.49811434753421,297.88718846078103,929774.0000000001
56,929296.9208703438,52.02555149012901,119.7022419043085,305.35133626164406,929773.9999999999
57,929287.6363315784,52.55379860505382,120.91854028708117,312.8913295294303,929774.0
58,929278.2575489949,53.08738367766735,122.14713244563804,320.50793488172025,929773.9999999999
59,929268.7835719703,53.62635909735499,123.38814227251609,328.201926659778,929773.9999999999
60,929259.2134403149,54.170777923891215,124.64169473135925,335.974087029801,929773.9999999999
61,929249.5461842767,54.720693921085555,125.90791582266846,343.825205979408,929773.9999999999
62,929239.7808243592,55.27616145429593,127.1869327177564,351.7560814687201,929774.0
63,929229.9163713112,55.83723553522476,128.47887371569334,359.76751943780795,929774.0
64,929219.951826001,56.40397178331196,129.78386830391003,367.860333911707,929774.0
65,929209.8861793157,56.97642641842464,131.10204718281386,376.03534708289413,929773.9999999999
66,929199.7184121264,57.554656255191226,132.43354227762416,384.29338934068676,929773.9999999999
67,929189.4474950972,58.13871868964519,133.7784867846937,392.6352994283737,929773.9999999999
68,929179.0723887127,58.72867170575657,135.1370151603425,401.0619244211106,929773.9999999998
69,929168.5920430471,59.32457387170317,136.50926316455684,409.57411991639856,929773.9999999998
70,929158.0053977863,59.92648434234098,137.89536785476838,418.1727500163865,929773.9999999998
71,929147.3113820422,60.534462859028004,139.29546761803405,426.85868748056623,929773.9999999999
72,929136.5089142873,61.14856975280304,140.70970217925702,435.63281378047986,929773.9999999999
73,929125.5969022625,61.76886594594548,142.13821261555597,444.49601917585125,929773.9999999999
74,929114.5742427298,62.395412962200126,143.58114138873157,453.44920291912536,929773.9999999999
75,929103.4398217245,63.0282729175017,145.03863231098182,462.4932730468535,929773.9999999998
76,929092.1925142584,63.667508530698115,146.51083058537552,471.6291466253258,929773.9999999998
77,929080.8311838068,64.31318314202602,147.9978828758762,480.85775017511725,929773.9999999998
78,929069.3546830198,64.96536068750737,149.49993721022193,490.1800190823097,929773.9999999998
79,929057.7618528706,65.62410573487658,151.01714309066384,499.59689830370723,929773.9999999999
80,929046.0515228614,66.28948347438113,152.54965146773722,509.10934219633305,929773.9999999998
81,929034.2225111922,66.96155971198193,154.09761471795363,518.7183143777095,929773.9999999998
82,929022.2736238881,67.64040091184144,155.66118675112497,528.4247884487072,929773.9999999998
83,929010.2036555113,68.3260741610267,157.2405229235511,538.2297474040314,929773.9999999998
84,928998.0113886705,69.01864719277337,158.8357800985796,548.1341840380713,929773.9999999999
85,928985.6955935706,69.71818840784145,160.44711670250075,558.1391013190246,929773.9999999999
86,928973.255028759,70.42476683964391,162.07469263157725,568.2455117698097,929774.0
87,928960.6884394872,71.13845223548554,163.71866945015924,578.4544388271422,929774.0
88,928947.994559092,71.85931498711439,165.37921022494066,588.766915695998,929774.0
89,928935.1721089326,72.58742613347529,167.05647953287456,599.1839854010838,929774.0
90,928922.2197979299,73.32285738357004,168.750643517,609.7067011696266,929774.0
91,928909.1363224307,74.06568112288238,170.46186990310582,620.3361265433427,929774.0
92,928895.9203660735,74.81597041980308,172.19032801639455,631.073335490406,929774.0000000001
93,928882.5705989113,75.57379907107851,173.93618888252024,641.9194131351652,929774.0000000001
94,928869.0856769673,76.33924162456464,175.6996252795577,652.8754561286016,929774.0
95,928855.4642436578,77.11237330359549,177.4808115772489,663.9425714613309,929774.0
96,928841.7049288795,77.89327005436127,179.27992384221253,675.1218772238635,929773.9999999999
97,928827.8063488392,78.68200855418938,181.09713985862112,686.4145027479555,929774.0
98,928813.7671058942,79.47866621925756,182.93263914764938,697.8215887389657,929774.0
99,928799.5857886304,80.28332120282651,184.7866029543831,709.3442872123671,929774.0
100,928785.2609733079,81.09605233902042,186.65921404782716,720.9837603053674,929774.0000000001
101,928770.7912214604,81.9169392397927,188.550657046703,732.7411822530752,929774.0000000001
102,928756.175080216,82.74606228357162,190.46111837345043,744.6177391269564,929773.9999999999
103,928741.4110824183,83.58350261173018,192.3907862350859,756.6146287349297,929774.0
104,928726.4977464974,84.42934213510232,194.33985063854294,768.7330607289985,929774.0
105,928711.4335763404,85.28366354052534,196.3085034059952,780.9742567130538,929774.0
106,928696.2170610825,86.14655030894198,198.2969381825544,793.339450425975,929773.9999999999
107,928680.8466750144,87.01808671648735,200.305350455192,805.8298878138957,929774.0
108,928665.3208775203,87.89835783119464,202.3339375745506,818.4468270739335,929773.9999999999
109,928649.6381129025,88.7874495262075,204.3828987658674,831.1915388054392,929774.0000000001
110,928633.7968102499,89.68544848655881,206.45243514414136,844.0653061193394,929774.0
111,928617.7953833073,90.59244221594982,208.54274972930008,857.0694247474817,929774.0000000001
112,928601.6322302308,91.50851902620042,210.6540474940631,870.2052032488555,929774.0
113,928585.3057331397,92.4337679949069,212.78653547179277,883.4739633935593,929774.0
114,928568.814258564,93.36827906176282,214.9404226027101,896.8770397715416,929774.0
115,928552.1561571105,94.31214300397036,217.11591980824718,910.4157800773114,929774.0
116,928535.3297632949,95.26545143736962,219.31324001687452,924.0915452508683,929774.0
117,928518.3333954031,96.22829682208186,221.53259818141058,937.9057095933946,929774.0
118,928501.1653553463,97.2007724745356,223.7742112908934,951.8596608883897,929774.0000000001
119,928483.8239281293,98.18297296521484,226.03829805380582,965.9548008516988,929773.9999999999
120,928466.307381761,99.17499385992481,228.32507916900173,980.1925452100821,929774.0000000001
121,928448.6139681553,100.17693036747481,230.63477854164753,994.5743229354608,929773.9999999999
122,928430.7419216626,101.18887965705365,232.9676212022123,1009.1015774781131,929774.0
123,928412.6894594965,102.2109396757044,235.32383441759092,1023.7757664100525,929773.9999999999
124,928394.4547815637,103.24320909714608,237.70364776852765,1038.5983615703922,929773.9999999998
125,928376.0360702487,104.28578749823971,240.10729300862428,1053.5708492442202,929773.9999999998
126,928357.4314901814,105.33877554125968,242.53500392085277,1068.694730356377,929773.9999999999
127,928338.6391881646,106.40227477742481,244.98701652392464,1083.971520533851,929773.9999999999
128,928319.6572929758,107.47638764996705,247.46356910091393,1099.402750273121,929773.9999999999
129,928300.4839152659,108.56121752080676,249.96490218874862,1114.9899650243901,929773.9999999999
130,928281.1171472742,109.6568687594289,252.49125853536984,1130.7347254306917,929773.9999999998
131,928261.5550627232,110.76344670160721,255.04288315734706,1146.638607417606,929773.9999999998
132,928241.7957166783,111.88105765475109,257.62002335653085,1162.7032023101426,929773.9999999997
133,928221.8371453024,113.00980888826052,260.22292876844637,1178.9301170404804,929773.9999999998
134,928201.6773657165,114.14980866314258,262.85185135475683,1195.32097426517,929773.9999999997
135,928181.314375921,115.30116623394751,265.507045413658,1211.8774124311362,929773.9999999998
136,928160.7461544238,116.46399186487677,268.18876762206304,1228.601086089013,929773.9999999999
137,928139.9706602831,117.63839682753436,270.8972770312222,1245.493665857755,929773.9999999995
138,928118.9858326872,118.82449341517732,273.63283511805594,1262.5568387791827,929773.9999999997
139,928097.7895910575,120.02239494111302,276.39570577050563,1279.7923082305274,929773.9999999995
140,928076.3798345645,121.23221576183651,279.1861553398223,1297.2017943334502,929773.9999999995
141,928054.7544422388,122.45407127110768,282.0044526290636,1314.7870338605526,929773.9999999995
142,928032.9112725299,123.68807792051904,284.8508689409563,1332.5497806082126,929773.9999999994
143,928010.848162716,124.93435324454424,287.72567814339044,1350.4918058956616,929773.9999999997
144,927988.5629292916,126.19301584376645,290.6291566266418,1368.6148982375082,929773.9999999995
145,927966.0533686831,127.4641853534188,293.56158322457236,1386.9208627384583,929773.9999999995
146,927943.3172568072,128.74798246277422,296.52323926319144,1405.4115214663368,929773.9999999995
147,927920.3523480349,130.04452896037,299.5144086742542,1424.0887143301634,929773.9999999995
148,927897.156371535,131.35394789342752,302.53537839570464,1442.9543021754457,929773.9999999997
149,927873.72703725,132.67636330729582,305.5864377171894,1462.0101617252183,929773.9999999997
150,927850.0620342224,134.0119003183616,308.6678784631995,1481.2581869956668,929773.9999999995
151,927826.159030203,135.3606851311815,311.77999503610533,1500.7002896292913,929773.9999999995
152,927802.0156672106,136.72284523001312,314.9230848974256,1520.3384026615483,929773.9999999995
153,927777.6295643244,138.09850925834502,318.0974482651164,1540.174478151694,929773.9999999995
154,927752.9983203117,139.48780690554636,321.30338782875185,1560.2104849536415,929773.9999999995
155,927728.119511828,140.890868984492,324.54120894457543,1580.448410242529,929773.9999999997
156,927702.990691972,142.3078274946668,327.8112197885575,1600.8902607444052,929773.9999999995
157,927677.6093861065,143.73881580452962,331.1137317987112,1621.5380662898494,929773.9999999995
158,927651.973099166,145.18396833259848,334.4490589015782,1642.3938735994595,929773.9999999997
159,927626.0793134207,146.64342064501432,337.8175177488646,1663.4597481850178,929773.9999999997
160,927599.9254906138,148.1173093656425,341.21942749328116,1684.7377725269494,929773.9999999997
161,927573.5090548574,149.60577289942367,344.655111585172,1706.2300606577076,929773.9999999998
162,927546.8274186293,151.10895033291467,348.1248950417238,1727.9387359957148,929773.9999999997
163,927519.8779656361,152.6269821590623,351.62910624712885,1749.8659459574378,929773.9999999998
164,927492.6580561287,154.16001005236828,355.1680763941488,1772.013857424515,929773.9999999997
165,927465.1650246333,155.70817696232209,358.74213971919687,1794.3846586848836,929773.9999999997
166,927437.3961754474,157.27162729855115,362.35163396848986,1816.9805632852053,929773.9999999997
167,927409.3487916859,158.85050655970983,365.9968994627673,1839.803802291343,929773.9999999998
168,927381.0201314796,160.4449614897773,369.6782794907542,1862.8566275395356,929773.9999999997
169,927352.4074273214,162.0551401051893,373.3961203772044,1886.1413121958678,929773.9999999998
170,927323.5078857732,163.68119170710224,377.1507715134878,1909.6601510059231,929773.9999999998
171,927294.3186871734,165.3232668936585,380.9425853881801,1933.415460544449,929773.9999999997
172,927264.836984866,166.98151758248,384.77191766516836,1957.4095798860574,929773.9999999995
173,927235.0599028763,168.65609706632966,388.63912741583385,1981.6448726411331,929773.9999999997
174,927204.9845390238,170.3471599526348,392.54457681172823,2006.1237242113832,929773.9999999995
175,927174.607963612,172.054862197484,396.48863125611746,2030.8485429340278,929773.9999999997
176,927143.9272188435,173.77936112413425,400.47165944356664,2055.8217605883865,929773.9999999997
177,927112.939318497,175.52081543594375,404.4940333936328,2081.045832673047,929773.9999999997
178,927081.6412476026,177.2793852293052,408.55612848455894,2106.5232386830417,929773.9999999995
179,927050.0299628543,179.05523197368765,412.6583234028053,2132.25648176874,929773.9999999995
180,927018.1023984395,180.84851824928933,416.8009994723623,2158.2480838384026,929773.9999999997
181,926985.8554572023,182.65940814077877,420.9845416628462,2184.5005929936437,929773.9999999997
182,926953.2860118089,184.48806718361055,425.2093384527336,2211.016582554356,929773.9999999997
183,926920.390905671,186.3346623211618,429.4757817202837,2237.7986502870363,929773.9999999995
184,926887.1669527076,188.1993619138713,433.78426676752343,2264.849418610641,929773.9999999997
